ATB	BQAQ		British Antarctic Territory		1979
BUR	BUMM	104	Burma, Socialist Republic of the Union of		1989-12-05
BYS	BYAA	112	Byelorussian SSR Soviet Socialist Republic		1992-06-15
CTE	CTKI	128	Canton and Enderbury Islands		1984
CSK	CSHH	200	Czechoslovakia, Czechoslovak Socialist Republic		1993-06-15
DHY	DYBJ	204	Dahomey		1977
ATN	NQAQ	216	Dronning Maud Land		1983
TMP	TPTL	626	East Timor	was Portuguese Timor	2002-05-20
ETH	ET	230	Ethiopia		1993-07-16
FXX	FXFR	249	France, Metropolitan		1997-07-14
AFI	AIDJ	262	French Afars and Issas		1977
ATF	FQHH		French Southern and Antarctic Territories	now split between AQ and TF	1979
DDR	DDDE	278	German Democratic Republic		1990-10-30
DEU	DE	280	Germany, Federal Republic of		1990-10-30
GEL	GEHH	296	Gilbert and Ellice Islands	now split into Kiribati and Tuvalu	1979
JTN	JTUM	396	Johnston Island		1986
MID	MIUM	488	Midway Islands		1986
ANT	AN	532	Netherlands Antilles		1993-07-12
NTZ	NTHH	536	Neutral Zone	formerly between Saudi Arabia and Iraq	1993-07-12
NHB	NHVU	548	New Hebrides		1980
PCI	PCHH	582	Pacific Islands (trust territory)	divided into FM, MH, MP, and PW	1986
PAN	PA	590	Panama, Republic of		1993-07-22
PCZ	PZPA		Panama Canal Zone		1980
ROM	RO	642	Romania, Socialist Republic of		2002-02-01
KNA	KN	658	St. Kitts-Nevis-Anguilla	now St. Kitts and Nevis and Anguilla	1988
SCG	CSXX	891	Serbia and Montenegro		2006-06-05
SKM	SKIN		Sikkim		1975
RHO	RHZW	716	Southern Rhodesia		1980
ESH	EH	732	Spanish Sahara	now Western Sahara	1988
PUS	PUUM	849	US Miscellaneous Pacific Islands		1986
SUN	SUHH	810	USSR, Union of Soviet Socialist Republics		1992-08-30
HVO	HVBF	854	Upper Volta, Republic of		1984
VAT	VA	336	Vatican City State (Holy See)		1996-04-03
VDR	VDVN		Viet-Nam, Democratic Republic of		1977
WAK	WKUM	872	Wake Island		1986
YMD	YDYE	720	Yemen, Democratic, People's Democratic Republic of		1990-08-14
YEM	YE	891	Yemen, Yemen Arab Republic		1990-08-14
YUG	YUCS	891	Yugoslavia, Socialist Federal Republic of		1993-07-28
ZAR	ZRCD	180	Zaire, Republic of		1997-07-14
