Very Dark Bluish Green     	002a29	  0  42  41
Very Dark Greenish Blue    	002e3b	  0  46  59
Dark Blue                  	00304e	  0  48  78
Very Deep Yellowish Green  	003118	  0  49  24
Deep Blue                  	00416a	  0  65 106
Deep Bluish Green          	00443f	  0  68  63
Dark Greenish Blue         	004958	  0  73  88
Dark Bluish Green          	004b49	  0  75  73
Deep Green                 	00543d	  0  84  61
Deep Yellowish Green       	00622d	  0  98  45
Strong Blue                	0067a5	  0 103 165
Strong Greenish Blue       	007791	  0 119 145
Strong Green               	007959	  0 121  89
Strong Bluish Green        	007a74	  0 122 116
Vivid Greenish Blue        	0085a1	  0 133 161
Vivid Green                	008856	  0 136  86
Vivid Bluish Green         	008882	  0 136 130
Vivid Blue                 	00a1c2	  0 161 194
Brilliant Bluish Green     	00a693	  0 166 147
Very Dark Yellowish Green  	173620	 23  54  32
Blackish Green             	1a2421	 26  36  33
Dark Green                 	1b4d3e	 27  77  62
Very Dark Green            	1c352d	 28  53  45
Greenish Black             	1e2321	 30  35  33
Bluish Black               	202428	 32  36  40
Blackish Blue              	202830	 32  40  48
Black                      	222222	 34  34  34
Deep Olive Green           	232f00	 35  47   0
Brilliant Greenish Blue    	239eba	 35 158 186
Purplish Black             	242124	 36  33  36
Olive Black                	25241d	 37  36  29
Dark Purplish Blue         	252440	 37  36  64
Deep Purplish Blue         	272458	 39  36  88
Vivid Yellowish Green      	27a64c	 39 166  76
Brownish Black             	28201c	 40  32  28
Reddish Black              	282022	 40  32  34
Blackish Purple            	291e29	 41  30  41
Dark Olive Green           	2b3d26	 43  61  38
Blackish Red               	2e1d21	 46  29  33
Deep Greenish Blue         	2e8495	 46 132 149
Dark Violet                	2f2140	 47  33  64
Very Dark Purple           	301934	 48  25  52
Vivid Purplish Blue        	30267a	 48  38 122
Dark Grayish Olive Green   	31362b	 49  54  43
Moderate Bluish Green      	317873	 49 120 115
Deep Violet                	32174d	 50  23  77
Very Dark Reddish Purple   	341731	 52  23  49
Dark Yellowish Green       	355e3b	 53  94  59
Dark Grayish Olive         	363527	 54  53  39
Dark Grayish Blue          	36454f	 54  69  79
Moderate Greenish Blue     	367588	 54 117 136
Very Dark Purplish Red     	38152c	 56  21  44
Dark Grayish Green         	3a4b47	 58  75  71
Dark Olive Brown           	3b3121	 59  49  33
Moderate Green             	3b7861	 59 120  97
Dark Reddish Brown         	3e1d1e	 62  29  30
Dark Grayish Brown         	3e322c	 62  50  44
Brilliant Green            	3eb489	 62 180 137
Very Dark Red              	3f1728	 63  23  40
Very Deep Purple           	401a4c	 64  26  76
Dark Olive                 	403d21	 64  61  33
Strong Olive Green         	404f00	 64  79   0
Dark Brown                 	422518	 66  37  24
Dark Grayish Reddish Brown 	43302e	 67  48  46
Moderate Blue              	436b95	 67 107 149
Strong Yellowish Green     	44944a	 68 148  74
Deep Yellow Green          	467129	 70 113  41
Dark Grayish Yellowish Brown	483c32	 72  60  50
Brilliant Blue             	4997d0	 73 151 208
Moderate Olive Green       	4a5d23	 74  93  35
Dark Yellowish Brown       	4b3621	 75  54  33
Grayish Purplish Blue      	4c516d	 76  81 109
Moderate Purplish Blue     	4e5180	 78  81 128
Dark Greenish Gray         	4e5755	 78  87  85
Dark Grayish Purple        	50404d	 80  64  77
Grayish Olive Green        	515744	 81  87  68
Dark Bluish Gray           	51585e	 81  88  94
Grayish Blue               	536878	 83 104 120
Very Deep Purplish Red     	54133b	 84  19  59
Very Deep Reddish Purple   	54194e	 84  25  78
Dark Grayish Red           	543d3f	 84  61  63
Strong Purplish Blue       	545aa7	 84  90 167
Grayish Violet             	554c69	 85  76 105
Dark Gray                  	555555	 85  85  85
Deep Reddish Brown         	56070c	 86   7  12
Dark Purple                	563c5c	 86  60  92
Olive Gray                 	57554c	 87  85  76
Deep Brown                 	593319	 89  51  25
Brownish Gray              	5b504f	 91  80  79
Grayish Olive              	5b5842	 91  88  66
Very Deep Red              	5c0923	 92   9  35
Dark Reddish Gray          	5c504f	 92  80  79
Dark Reddish Purple        	5d3954	 93  57  84
Dark Purplish Gray         	5d555b	 93  85  91
Grayish Green              	5e716a	 94 113 106
Deep Purple                	602f6b	 96  47 107
Moderate Violet            	604e81	 96  78 129
Strong Violet              	604e97	 96  78 151
Grayish Brown              	635147	 99  81  71
Deep Yellowish Brown       	654522	101  69  34
Moderate Olive             	665d1e	102  93  30
Light Greenish Blue        	66aabc	102 170 188
Light Bluish Green         	66ada4	102 173 164
Dark Purplish Red          	673147	103  49  71
Grayish Reddish Brown      	674c47	103  76  71
Moderate Yellowish Green   	679267	103 146 103
Light Green                	6aab8e	106 171 142
Moderate Olive Brown       	6c541e	108  84  30
Brilliant Purplish Blue    	6c79b8	108 121 184
Moderate Brown             	6f4e37	111  78  55
Deep Reddish Purple        	702963	112  41  99
Light Blue                 	70a3cc	112 163 204
Dark Red                   	722f37	114  47  55
Deep Purplish Red          	78184a	120  24  74
Moderate Reddish Brown     	79443b	121  68  59
Grayish Purple             	796878	121 104 120
Greenish Gray              	7d8984	125 137 132
Grayish Yellowish Brown    	7e6d5a	126 109  90
Brilliant Violet           	7e73b8	126 115 184
Strong Yellow Green        	7e9f2e	126 159  46
Strong Brown               	80461b	128  70  27
Bluish Gray                	81878b	129 135 139
Moderate Yellowish Brown   	826644	130 102  68
Grayish Reddish Purple     	836479	131 100 121
Brilliant Yellowish Green  	83d37d	131 211 125
Deep Red                   	841b2d	132  27  45
Medium Gray                	848482	132 132 130
Moderate Purple            	86608e	134  96 142
Light Olive                	867e36	134 126  54
Vivid Reddish Purple       	870074	135   0 116
Strong Purple              	875692	135  86 146
Light Purplish Blue        	8791bf	135 145 191
Strong Reddish Brown       	882d17	136  45  23
Light Olive Gray           	8a8776	138 135 118
Moderate Yellow Green      	8a9a5b	138 154  91
Purplish Gray              	8b8589	139 133 137
Light Violet               	8c82b6	140 130 182
Light Grayish Olive        	8c8767	140 135 103
Pale Purplish Blue         	8c92ac	140 146 172
Pale Green                 	8da399	141 163 153
Vivid Yellow Green         	8db600	141 182   0
Light Brownish Gray        	8e8279	142 130 121
Very Light Green           	8ed1b2	142 209 178
Reddish Gray               	8f817f	143 129 127
Grayish Yellow Green       	8f9779	143 151 121
Grayish Red                	905d5d	144  93  93
Vivid Violet               	9065ca	144 101 202
Moderate Reddish Purple    	915c83	145  92 131
Grayish Purplish Red       	915f6d	145  95 109
Pale Blue                  	91a3b0	145 163 176
Light Yellowish Green      	93c592	147 197 146
Light Grayish Brown        	958070	149 128 112
Light Olive Brown          	967117	150 113  23
Pale Violet                	9690ab	150 144 171
Very Light Bluish Green    	96ded1	150 222 209
Light Grayish Reddish Brown	977f73	151 127 115
Dark Greenish Yellow       	98943e	152 148  62
Strong Yellowish Brown     	996515	153 101  21
Vivid Purple               	9a4eae	154  78 174
Deep Greenish Yellow       	9b9400	155 148   0
Very Light Greenish Blue   	9cd1dc	156 209 220
Dark Reddish Orange        	9e4732	158  71  50
Strong Reddish Purple      	9e4f88	158  79 136
Dark Grayish Yellow        	a18f60	161 143  96
Very Light Blue            	a1caf1	161 202 241
Light Brown                	a67b5b	166 123  91
Moderate Purplish Red      	a8516e	168  81 110
Light Reddish Brown        	a87c6d	168 124 109
Deep Reddish Orange        	aa381e	170  56  30
Pale Reddish Purple        	aa8a9e	170 138 158
Pale Purple                	aa98a9	170 152 169
Moderate Red               	ab4e52	171  78  82
Dark Yellow                	ab9144	171 145  68
Light Grayish Red          	ad8884	173 136 132
Brownish Orange            	ae6938	174 105  56
Light Grayish Yellowish Brown	ae9b82	174 155 130
Light Grayish Purplish Red 	af868e	175 134 142
Deep Yellow                	af8d13	175 141  19
Light Greenish Gray        	b2beb5	178 190 181
Strong Purplish Red        	b3446c	179  68 108
Very Light Purplish Blue   	b3bce2	179 188 226
Grayish Reddish Orange     	b4745e	180 116  94
Light Bluish Gray          	b4bcc0	180 188 192
Light Purple               	b695c0	182 149 192
Very Light Yellowish Green 	b6e5af	182 229 175
Light Reddish Purple       	b784a7	183 132 167
Moderate Greenish Yellow   	b9b459	185 180  89
Grayish Greenish Yellow    	b9b57d	185 181 125
Light Gray                 	b9b8b5	185 184 181
Strong Red                 	bc3f4a	188  63  74
Very Pale Blue             	bcd4e6	188 212 230
Brilliant Yellow Green     	bdda57	189 218  87
Vivid Red                  	be0032	190   0  50
Deep Orange                	be6516	190 101  22
Dark Orange Yellow         	be8a3d	190 138  61
Strong Greenish Yellow     	beb72e	190 183  46
Yellowish Gray             	bfb8a5	191 184 165
Light Purplish Gray        	bfb9bd	191 185 189
Dark Pink                  	c08081	192 128 129
Very Pale Purplish Blue    	c0c8e1	192 200 225
Dark Purplish Pink         	c17e91	193 126 145
Light Yellowish Brown      	c19a6b	193 154 107
Pinkish Gray               	c1b6b3	193 182 179
Brownish Pink              	c2ac99	194 172 153
Grayish Yellow             	c2b280	194 178 128
Grayish Purplish Pink      	c3a6b1	195 166 177
Dark Yellowish Pink        	c48379	196 131 121
Grayish Pink               	c4aead	196 174 173
Very Pale Violet           	c4c3dd	196 195 221
Grayish Yellowish Pink     	c7ada3	199 173 163
Very Pale Green            	c7e6d7	199 230 215
Deep Orange Yellow         	c98500	201 133   0
Moderate Yellow            	c9ae5d	201 174  93
Light Yellow Green         	c9dc89	201 220 137
Moderate Reddish Orange    	cb6d51	203 109  81
Vivid Purplish Red         	ce4676	206  70 118
Brilliant Purple           	d399e6	211 153 230
Strong Yellow              	d4af37	212 175  55
Moderate Purplish Pink     	d597ae	213 151 174
Very Light Purple          	d5badb	213 186 219
Very Pale Purple           	d6cadd	214 202 221
Strong Reddish Orange      	d9603b	217  96  59
Moderate Orange            	d99058	217 144  88
Moderate Yellowish Pink    	d9a6a9	217 166 169
Pale Yellow Green          	dadfb7	218 223 183
Very Light Violet          	dcd0ff	220 208 255
Vivid Greenish Yellow      	dcd300	220 211   0
Deep Purplish Pink         	de6fa1	222 111 161
Moderate Pink              	dea5a4	222 165 164
Greenish White             	dfede8	223 237 232
Vivid Reddish Orange       	e25822	226  88  34
Moderate Orange Yellow     	e3a857	227 168  87
Deep Pink                  	e4717a	228 113 122
Deep Yellowish Pink        	e66721	230 103  33
Strong Purplish Pink       	e68fac	230 143 172
Pale Purplish Pink         	e8ccd7	232 204 215
Purplish White             	e8e3e5	232 227 229
Brilliant Greenish Yellow  	e9e450	233 228  80
Bluish White               	e9e9ed	233 233 237
Strong Pink                	ea9399	234 147 153
Strong Orange Yellow       	eaa221	234 162  33
Pale Pink                  	ead8d7	234 216 215
Pinkish White              	eae3e1	234 227 225
Light Greenish Yellow      	eae679	234 230 121
Pale Greenish Yellow       	ebe8a4	235 232 164
Pale Yellowish Pink        	ecd5c5	236 213 197
Strong Orange              	ed872d	237 135  45
Light Purplish Pink        	efbbcc	239 187 204
Yellowish White            	f0ead6	240 234 214
White                      	f2f3f4	242 243 244
Vivid Orange               	f38400	243 132   0
Vivid Yellow               	f3c300	243 195   0
Pale Yellow                	f3e5ab	243 229 171
Light Yellowish Pink       	f4c2c2	244 194 194
Vivid Orange Yellow        	f6a600	246 166   0
Light Yellow               	f8de7e	248 222 126
Strong Yellowish Pink      	f99379	249 147 121
Light Pink                 	f9ccca	249 204 202
Light Orange               	fab57f	250 181 127
Pale Orange Yellow         	fad6a5	250 214 165
Brilliant Yellow           	fada5e	250 218  94
Light Orange Yellow        	fbc97f	251 201 127
Brilliant Orange           	fd943f	253 148  63
Vivid Pink                 	ffb5ba	255 181 186
Vivid Yellowish Pink       	ffb7a5	255 183 165
Brilliant Orange Yellow    	ffc14f	255 193  79
Brilliant Purplish Pink    	ffc8d6	255 200 214
